Unicode		按	遺		現		擴	Baxter 白一平	TUPA（用現）	遺	現	遺	現
13640	㕈		影灰去	✓	影合一灰去	✓	影合一〇灰去	wojH	′oj③		wui3		wei4
13640	㕈		影開微上		影開三C微上	✓	影開三C微上	j+jX	′yj②		ji2		yi3
13642	㕊		滂虞平	✓	滂三C虞平	✓	滂〇三C虞平	phju	phuo		fu1		fu1
13643	㕋		羣B侵平	✓	羣開三B侵平	✓	羣開三B侵平	gim	gyim		kam4		qin2
13646	㕎		溪談入	✓	溪開一談入	✓	溪開一〇談入	khap	khap		hap3		ke
13650	㕒		疑合B支平	✓	疑合三B支平	✓	疑合三B支平	ngjwe	ngue		ngai4		wei2
13655	㕗		以尤上	✓	以三尤上	✓	以〇三〇尤上	yuwX	ju②		jau5		you3
13657	㕙		清合眞平	✓	清合三真平	✓	請合三〇真平	tshwin	tshwin		ceon1		qun1
13657	㕙		精合眞去	✓	精合三真去	✓	精合三〇真去	tswinH	tswin③		zeon3		jun4
13658	㕚		莊肴上	✓	莊開二肴上	✓	莊開二〇肴上	tsraewX	tsraew②		zaau2		zhao3
13659	㕛		云尤上	✓	云三C尤上	✓	云〇三C尤上	hjuwX	u②		jau5		you3
13662	㕞		生合仙入	✓	生合三仙入	✓	生合三〇仙入	srjwet	sruet		syut3		shuo
13663	㕟		溪合皆去	✓	溪合二皆去	✓	溪合二〇皆去	khweajH	khweej③		faai3		kuai4
13665	㕡		曉開唐入	✓	曉開一唐入	✓	曉開一〇唐入	xak	hak		hok3		he
13666	㕢		匣開夬去	✓	匣開二夬去	✓	匣開二〇夬去	haejH	ghaej③		haai6		xie4
13666	㕢		見咍去	✓	見開一咍去	✓	見開一〇咍去	kojH	keoj③		goi3		gai4
13667	㕣		以合仙上	✓	以合三仙上	✓	以合三〇仙上	ywenX	jwien②		jyun5		yuan3
13670	㕦		匣合二麻去	✓	匣合二麻去	✓	匣合二〇麻去	hwaeH	ghwae③		waa6		hua4
13671	㕧		曉開B脂去	✓	曉開三B脂去	✓	曉開三B脂去	xijH	hyi③		hei3		xi4
13676	㕬		章鍾平	✓	章三鍾平	✓	章〇三〇鍾平	tsyowng	tjuong		zung1		zhong1
13677	㕭		影肴平	✓	影開二肴平	✓	影開二〇肴平	aew	′aew		aau1		yao1
13678	㕮		並虞上	✓	並三C虞上	✓	並〇三C虞上	bjuX	buo②		fu6		fu4
13678	㕮		幫虞上	✓	幫三C虞上	✓	幫〇三C虞上	pjuX	puo②		fu2		fu3
