㦃	tsrhean2
㦃	srean2
㦄	mae1
㦅	det4
㦌	xwot4
㦎	xweak4
㦒	lej1
㦓	hen2
㦗	kim1
㦚	pjien2
㦚	bjien2
㦛	yo2
㦛	yo1
㦜	hwak4
㦝	maewk4
㦟	meaj1
㦣	hjwej3
㦣	ngjiej3
㦣	tsjej3
㦦	xek4
㦬	la2
㦰	tsjem1
㦴	kaek4
㦵	trju1
㦺	nyowk4
㦼	sraewng3
㦿	kheam2
㧀	gip4
㧁	hap4
㧁	khop4
㧁	khjo3
㧁	kop4
㧄	khjaem2
㧆	kjïn3
㧉	koj3
㧊	phat4
㧒	hwit4
㧒	hjut4
㧓	kwae1
㧔	kweaj3
㧖	eak4
㧗	tsje2
㧗	tsej2
㧗	tsrje2
㧘	dzrea1
㧘	dzje3
㧘	gje3
㧡	hoj2
㧢	jin1
㧦	xwen3
㧬	kjowng2
㧲	som2
㧳	keat4
㧴	nga2
㧶	kheang1
㧹	thok4
㧺	dop4
㧻	traewk4
㧾	khwot4
㨁	dzyik4
㨁	dri3
㨃	twoj2
㨅	nrjwe3
㨉	min1
㨊	ywij2
㨋	tsyhae2
㨍	pang1
㨎	nywet4
㨏	than1
㨐	puw2
㨒	khwej1
㨖	tri2
㨖	trje2
㨖	trij2
㨖	trij3
㨙	hea1
㨙	hej3
㨝	set4
㨞	su3
㨟	hoj1
㨟	koj1
㨠	men2
㨡	hwot4
㨡	hwon1
㨤	khweaj1
㨥	nop4
㨧	bwon2
㨨	trhjuw1
㨵	tsjen2
㨶	taw2
㨷	gin1
㨷	kjïn3
㨹	sjwet4
㨹	tsjwej3
㨻	dzam1
㨻	sraem2
㨼	ljak4
㨾	yang3
㩇	hweak4
㩇	xweak4
㩉	lop4
㩉	tap4
㩊	sjwen1
㩋	sjuwk4
㩋	sew1
㩋	sew2
㩋	sew3
㩋	srjuwk4
㩒	gim1
㩓	xjwe2
㩜	lam1
㩢	met4
㩢	maet4
㩢	mej3
㩤	phju1
㩧	baewk4
㩧	phaewk4
㩨	hwej3
㩩	khjwieng2
㩱	tsjak4
㩳	sjowng2
㩵	dzat4
㩵	ngat4
㩹	dep4
㩺	bij2
㩺	phjij1
㩻	khje1
㩻	kjwe3
㩼	tsye3
㩼	tsye1
㩽	gje1
㩾	trjwe1
㩿	khwot4
㪁	khjaem3
㪁	khjaem1
㪁	khom1
㪁	gim1
㪃	xa2
㪆	tej2
㪇	sen3
㪉	kop4
㪋	han3
㪋	xa2
㪌	suwng2
㪍	bwot4
㪏	pej2
㪏	pej3
㪐	lwot4
㪑	jaep4
㪑	jep4
㪒	ngej2
㪒	ngej1
㪖	luwk4
㪖	ljowk4
㪙	khwa3
㪜	tsrhjwe2
㪜	tsyhwen2
㪜	twa2
㪝	len3
㪡	khaj3
㪢	sraew2
㪤	pjit4
㪥	tsrae1
㪩	sjuwk4
㪪	sap4
㪬	trhaewk4
㪬	draewk4
㪭	lu1
㪵	pan3
㪷	tuw2
㪹	luw2
㪺	kju1
㪻	phjon3
㪾	kaek4
㫂	tsyo3
㫃	jen2
㫃	jon2
㫊	a2
㫍	yew1
㫎	xjwïj1
㫏	ew2
㫐	ew2
㫐	ew1
㫘	mit4
㫚	xwot4
㫱	nraen2
㫹	srjo3
㫽	ljowk4
㬄	trhaen3
㬉	nwan2
㬊	hwan2
㬎	xen2
㬎	ngop4
㬒	mang2
㬓	phjiew3
㬗	nen3
㬜	tsin3
㬝	suwng1
㬤	khip4
㬫	en3
㬮	nrean1
㬮	nan3
㬰	yu1
㬱	thej3
㬵	haew1
㬻	xwang2
㭁	nying3
㭁	nying1
㭂	tsew2
㭈	kwet4
㭊	sek4
㭋	baewng2
㭑	maj3
㭔	lu1
㭔	lu2
㭕	khjo1
㭘	hop4
㭘	gjep4
㭘	gjaep4
㭘	kop4
㭚	ljo2
㭛	phea3
㭜	nyuwng1
㭝	gjuw1
㭠	sen2
㭩	ljwet4
㭩	lwat4
㭩	lu2
㭫	dzwa1
㭭	pet4
㭭	paet4
㭯	trjep4
㭰	tsjwe2
㭰	tsjwe1
㭸	du1
㭺	jem2
㭼	dop4
㭼	thop4
㭿	ngang1
㮀	heam1
㮁	haew1
㮂	kjowk4
㮃	jwe1
㮅	tsywij1
㮇	them3
㮌	mjien1
㮍	tsen1
㮐	sjeng2
㮕	nywen2
㮖	keat4
㮘	maw1
㮙	ngak4
㮚	lit4
㮝	heak4
㮢	huw1
㮤	zjowng1
㮥	bwon2
㮦	sak4
㮧	u1
㮨	tsik4
㮩	sik4
㮫	hat4
㮬	uwng1
㮭	heam1
㮯	hwon2
㮯	hwon1
㮰	bjij1
㮰	bet4
㮲	tsrhjuw1
㮴	saw1
㮶	sraewk4
㮷	kej1
㮿	pjit4
㯁	bwoj1
㯂	taj3
㯃	tshit4
㯄	tsye1
㯅	bjie1
㯅	bje1
㯅	pej1
㯉	trhjo1
㯊	hon1
㯋	kweng2
㯍	tsjang2
㯓	thap4
㯔	tsrhjwej3
㯔	tshjwej3
㯕	sej1
㯙	drjet4
㯚	top4
㯛	hu1
㯜	srin1
㯞	kjwien3
㯟	luwk4
㯠	khen3
㯡	baew1
㯫	gjo1
㯬	ljem2
㯮	dzyowk4
㯯	kuwng3
㯱	phaw1
㯱	bjiew1
㯲	kim3
㯳	kjaeng2
㯸	tsin2
㯺	haem3
㯺	xam2
㯻	kwon2
㯽	pjin1
㯿	yep4
㯿	ljep4
㰁	la2
㰂	syim2
㰈	ljem2
㰊	zjem1
㰋	bjin1
㰍	luwng1
㰘	yij1
㰚	lje1
㰠	xang1
㰢	kheang1
㰣	tsje3
㰣	tsje1
㰤	xa2
㰤	xa3
㰤	khae3
㰥	xej3
㰦	khja1
㰦	khjo3
㰨	xea1
㰪	ea1
㰪	kwej1
㰬	swin1
㰭	xju1
㰮	dzyin2
㰯	xuw3
㰯	thuw3
㰰	xeap4
㰲	juwk4
㰲	xwik4
㰲	tsyowk4
㰳	ae3
㰴	phuw3
㰵	tswit4
㰶	bjew2
㰹	xeam1
㰻	ij2
㰼	srjep4
㰽	jon3
㰾	kew3
㰾	kek4
㱀	tsrhi2
㱀	tsrhwaej3
㱂	khang1
㱃	im2
㱄	xok4
㱇	srik4
㱇	xik4
㱊	juw1
㱍	lwan1
㱎	kwon1
㱒	xa1
㱕	kjwïj1
㱖	dzwij3
㱙	xjuw2
㱚	dzan1
㱚	ngwaet4
㱜	tsreat4
㱞	ngip4
㱟	phje2
㱟	phje1
㱠	khu1
㱡	sring2
㱡	sring1
㱣	thwoj2
㱤	sek4
㱥	long3
㱥	ling1
㱦	khje1
㱦	kje2
㱦	kje1
㱬	woj2
㱯	ngoj1
㱯	koj1
㱱	hwoj2
㱲	jie3
㱳	maek4
㱴	dzje3
㱵	pjun3
㱸	bjiek4
㱸	bek4
㱻	lwa3
㱻	lwaj3
㱽	trim2
㱽	gim1
㱾	khoj1
㱿	khaewk4
㲀	dzrin1
㲀	tsyin1
㲃	khjiw1
㲃	kjuw3
㲄	khuwk4
㲅	kej3
㲈	dzyew1
㲉	khuwk4
㲉	khaewk4
㲋	trhjak4
㲍	tsye1
㲏	phaw1
㲓	syu3
㲔	sjen1
㲕	ljwet4
㲕	lwaj3
㲖	sew1
㲗	phju1
㲚	srae1
㲝	maw3
㲞	swot4
㲟	jaeng2
㲡	naj3
㲢	ben2
㲥	dang1
㲦	han3
㲪	tong1
㲫	buwk4
㲬	tsjew1
㲰	nraeng1
㲱	ljep4
㲲	dep4
㲳	trit4
㲺	tsit4
㲼	ngjoj3
㲽	syang1
㲽	nen3
㳀	kwa3
㳁	tsrik4
㳂	ywen1
㳄	zjen1
㳅	ljuw1
㳐	dzraet4
㳗	tsrhea3
㳘	tsyhuwng1
㳙	kwen1
㳛	yuw1
㳛	yu1
㳥	luwng3
㳦	heaj3
㳧	tsyhep4
㳨	tsat4
㳬	zjwen3
㳬	zjwen1
㳶	nuw2
㳹	wang2
㳻	tshu3
㳻	sreak4
㳻	tsraek4
㴂	tham1
㴄	waeng2
㴐	men3
㴒	yek4
㴥	tshjew3
㴦	kjuwng1
㴧	sik4
㴫	kwon3
㴬	zjae3
㴯	tsyij1
㴲	sje1
㴴	dream2
㴸	syem2
㴽	set4
㵂	syo3
㵅	thom1
㵋	mea2
㵋	mek4
㵎	kaen3
㵐	khjwot4
㵑	ha3
㵒	bjïj3
㵗	bing1
㵝	yej3
㵞	dzrjuw1
㵟	mij1
㵟	mjïj1
㵣	khat4
㵧	kat4
㵨	phjie3
㵩	yej3
㵫	nrip4
㵶	tsat4
㵶	tset4
㵶	tsjek4
㵺	phea3
㵻	xjuw1
㵽	lwoj2
㵾	tsrhjaeng3
㵾	dzjeng3
㵿	hew2
㶀	kaew1
㶁	kwaek4
㶄	yem1
㶆	tsyo1
㶇	hwaeng3
㶇	hwaeng1
㶌	ljen1
㶏	jïn2
㶏	jïn3
㶏	jïn1
㶒	1
㶒	thom3
㶒	thom3
㶔	beaj3
㶕	kean2
㶖	syuwk4
㶗	bjon3
㶘	dem2
㶛	yo1
㶟	lwij2
㶟	lwij1
㶣	dam1
㶣	drjem1
㶧	nwon2
㶳	dzin3
㶴	tsyhe2
㶼	oj1
㶼	xi1
㶿	bwot4
㷄	xwoj2
㷄	kwan3
㷅	tsrheap4
㷆	bjuw2
㷇	khwoj1
㷉	jwïj3
㷒	ngju1
㷓	tshuwng1
㷓	tsuwng2
㷟	thwoj1
㷠	lin1
㷤	xuwk4
㷭	phjowng1
㷮	tsaw1
㷰	lje1
㷰	trhje1
㷳	ngan3
㷷	tsjwe1
㷸	hjep4
㷹	draew3
㸃	tem2
㸅	tset4
㸊	laj3
㸎	nrjep4
㸏	mje1
㸒	yim1
㸙	tsyae1
㸚	lje2
㸚	lej3
㸛	dzyew1
㸡	dzyu1
㸢	bij3
㸣	ngjaep4
㸤	phen3
㸪	zywin1
㸪	zwin1
㸬	paj3
㸰	dwa1
㸰	khwa1
㸲	dzak4
㸳	leng1
㸶	ean1
㸸	uw2
㸸	xuw2
㸸	khuw2
㸹	ljwet4
㸹	lwat4
㸼	phjowng1
㹁	ljang3
㹁	ljang1
㹂	het4
㹂	hean2
㹂	khjien2
㹃	pjïj3
㹄	tsik4
㹉	ngjwon1
㹊	ngaewk4
㹌	srean2
㹍	dek4
㹏	kjïn2
㹒	phaewk4
㹔	kjang1
㹗	tsyhuw1
㹗	thaw1
㹘	nyu3
㹛	nyew1
㹜	ngjïn1
㹞	ngin1
㹠	dwon1
㹤	khjaep4
㹥	tsyu3
㹧	ang1
㹭	yej3
㹮	maek4
㹯	xjuw1
㹱	tshjowk4
㹱	tshjak4
㹲	xaew1
㹳	ngu1
㹶	deng1
㹺	thop4
㹼	kjuwk4
㹽	tsrhaen2
㹾	bjew2
㺁	naw2
㺂	ngeam1
㺇	si1
㺊	yang3
㺌	heam2
㺌	hem2
㺎	yowng1
㺏	lju1
㺑	sream2
㺑	sream1
㺑	sraem2
㺒	haew2
㺒	nraew2
㺔	xaj3
㺕	bjen3
㺕	bjon1
㺖	tsrhaem3
㺖	ham3
㺖	xaem2
㺗	tsrhean1
㺛	tsyu3
㺜	nraew1
㺜	nrjowng1
㺜	nowng1
