	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
㾷						ɬe								心開三支平⸗心開四齊平
䫢						ɬe								心開三支平
𧳋						lrˤeʔ								澄開二佳上
肔						leʔ						l̥ʰalʔ⸗lalʔ	ria⸗tʰia	以開三支上
崺						leʔ						lalʔ		以開三支上
廳						l̥ˤeŋ					tʰieŋ	l̥ʰeːŋ		透開四青平
蟶						l̥reŋ						l̥ʰeŋ		徹開三清平
脡						l̥ˤeŋʔ	tʰeŋᴮ	l̥êŋʔ				l̥ʰeːŋʔ	tʰeŋ	透開四青上
䦐						l̥ˤeŋʔ⏪𨳝								透開四青上
𨳝						l̥ˤeŋʔ								透開四青上
㹶						lˤeŋ								定開四青平
𧓴						lˤeŋ								定開四青平
艇						lˤeŋʔ					dieŋ	l'eːŋʔ		定開四青上
梃						lˤeŋʔ	deŋᴮ	lêŋʔ			dieŋ	l'eːŋʔ	deŋ	定開四青上
涏						lˤeŋʔ						l'eːns⸗l'eːŋʔ		定開四先去⸗定開四青上
誔						lˤeŋʔ						l'eːŋʔ		定開四青上
㜲						leŋ								以開三清平
䕦						leŋ								以開三清平
攍						leŋ						leŋ		以開三清平
𤟣						leŋ								以開三清平
𨜏						leŋ								以開三清平
𦝚						leŋ								以開三清平
鞓						l̥ˤeŋ						l̥ʰeːŋ		透開四青平
𦀚						l̥ˤeŋ								透開四青平
悜						l̥reŋʔ						l̥ʰeŋʔ		徹開三清上
睈						l̥reŋʔ						l̥ʰeŋʔ		徹開三清上
浧						leŋʔ						leŋʔ		以開三清上
珵						lreŋ	ɖjeŋ⸗tʰeŋ	dreŋ⸗r̥êŋ				rleŋ	dieŋ	澄開三清平
䇸						lreŋ								澄開三清平
𣍆						nˤeŋ								昌開三之平⸗泥開四青平
𠜓						l̥ˤek								透開四青入入
悐						l̥ˤek	tʰek	l̥êk				tʰeːg	tʰek	透開四青入入
荻						lˤek	dek	lêk			diek	deːg	dek	定開四青入入
𩷎						lˤek								定開四青入入
梑						lˤek						deːg		定開四青入入
踢						l̥ˤek						tʰeːg		透開四青入入
𪎥						ɬˤek								心開四青入入
𡱿						lek								以開三清入入
㑥						lekh								以開三支去
敡						lekh						legs		以開三支去
儩						ɬekh						slegs		心開三支去
庣						l̥ˤeu						l̥ʰeːw		透開四蕭平
聎						l̥ˤeu						l̥ʰeːw		透開四蕭平
頫						l̥ˤeuh	tʰewᶜ	l̥jâwh				l̥ʰeːws⸗poʔ	tʰeaw	幫三C虞上⸗透開四蕭去
𤕷						lˤeuʔ								定開四蕭上
𤱩						lˤeuʔ								定開四蕭上
𦾺						l[a]u								以開三宵平
烑						l[a]u						lew		以開三宵平
餆						l[a]u						lew		以開三宵平
䍮						lr[a]uʔ								澄開三宵上
𠧞						lr[a]uʔ								澄開三宵上
晈						kˤeuʔ	kewᴮ	kjâwʔ				keːwʔ	keaw	見開四蕭上
䘨						kˤeuʔ								見開四蕭上
咬						krˤeu	kaw⸗ʔaw⸗ŋawᴮ	krâw⸗ʔrâw⸗ʔaw⸗ŋrâwʔ				kreːw⸗ŋgreːwʔ⸗qreːw	kraw⸗ʔraw	影開二肴平⸗疑開二肴上⸗見開二肴平
䍊						krˤeu								溪開四青入入⸗見開二肴平
䉰						krˤeu⸗krˤeuʔ⸗ɡrˤeuʔ								匣開二肴上⸗見開二肴上⸗見開二肴平
𥹜						krˤeu								見開二肴平
詨						krˤeu⸗ɡrˤeuh⸗hrˤeuh						kreːw⸗qʰreːws⸗greːws		匣開二肴去⸗曉開二肴去⸗見開二肴平
䕧						krˤeuʔ⸗ɡrˤeuʔ								匣開二肴上⸗見開二肴上
𢯴						krˤeuʔ								見開二肴上
珓						krˤeu						kreːws		見開二肴去
跤						kʰrˤeu						kʰreːw		溪開二肴平
䂭						kʰrˤeu								溪開二肴平
頝						kʰrˤeu						kʰreːw		溪開二肴平
㬵						ɡrˤeu								匣開二肴平
𨠦						ɡrˤeu								匣開二肴平
効						ɡrˤeuh	gawᶜ	grâwh				greːws	graw	匣開二肴去
𩐟						prˤeuk								幫二江入入
䢰						l̥ˤeuk								透開四青入入
籴						lˤeuk								定開四青入入
䌦						lˤeuk								定開一豪去⸗定開四青入入
𧃔						lrˤeuk								澄二江入入
㺟						lrˤeuk								澄二江入入
鸐						lrˤeuk						r'eːwɢ		澄二江入入
𩆸						lrˤeuk								澄二江入入
㪬						lrˤeuk								徹二江入入⸗澄二江入入
㿑						leuk								以開三陽入入
鑰						leuk					ʎǐauk	lowɢ		以開三陽入入
𤅢						leuk	jɑk	jawk						以開三陽入入
𢅹						leuk								以開三陽入入
𥌺						leuk								以開三陽入入⸗以開三宵去
鸙						leuk						lowɢ		以開三陽入入
𤒀						leuk⏪䶳								以開三陽入入
䶳						leuk								
𧕋						leuk								以開三陽入入
䄼						l̥ˤemʔ								透開四添上
湉						lˤem						l'eːm		定開四添平
𦳇						lˤem								定開四添平
喋						lˤep	dep				diap	rlaːb⸗ʔl'eːb⸗l'eːb		端開四添入入⸗澄開二銜入入⸗定開四添入入
蹀						lˤep	dep	lêp			diap	l'eːb	deap	定開四添入入
䥡						lˤep								定開四添入入
𥷕						lˤep								定開四添入入
牃						lˤep						l'eːb		定開四添入入
惵						lˤep						l'eːb		定開四添入入
𠗨						lˤep								定開四添入入⸗澄開二銜入入
𪑧						lˤep								來開四添入入⸗定開四添入入
䁋						lˤep								定開四添入入⸗曉開四添入入
鞢						ɬˤep						rlaːb⸗sleːb		心開四添入入⸗澄開二銜入入
䕈						ɬˤep								心開四添入入
弽						l̥ap						hljeb⸗hleːb		曉開四添入入⸗書開三鹽入入
楪						l[a]p						leb		以開三鹽入入
煠						l[a]p						zreːb⸗l̥ʰeb⸗leb		以開三鹽入入⸗崇開二咸入入⸗徹開三鹽入入
殜						l[a]p						l'eb⸗leb⸗lab		以開三嚴入入⸗以開三鹽入入⸗澄開三鹽入入
枻						l[a]ph	jas	lats⸗laps			ʎǐat	lebs	riar	以開三祭去
靾						l[a]ph	sjat	slat				lebs		以開三祭去
袣						l[a]ph						lebs		以開三祭去
㵩						l[a]ph								以開三祭去
緤						l̥[a]t❓	sjat	slat				sled	sjiat	心開三仙入入
媟						l̥[a]t❓						sled	sjiat	心開三仙入入
𣽒						l̥[a]t❓								心開三仙入入
疶						l̥[a]t❓						sled		心開三仙入入
𪯚						tsʰrai❓								
竝						bˁeŋʔ⏪併	beŋᴮ	bêŋʔ			biaŋ	beːŋʔ	beŋ	並四青上
䀇							kɑᴮ	kâʔ						
鬍							gɔ⸗gɑ	gâ						匣一模平
嗄							ʂaᶜ⸗ʔas	srâh⸗ʔâs				sqʰraːs⸗qraːds		影開二夬去⸗生開二麻去
嘘							hɨ̯ɑ⸗hɨ̯ɑᶜ	ha⸗hah				qʰa⸗qʰas		曉開三C魚去
耟							gɨ̯ɑᴮ	gaʔ						
蚷							gɨ̯ɑ	ga						
佢							gɨ̯ɑ	ga						
槬							ɣʷaᶜ	gʷrâh⸗wâh						
偊							wɑᴮ	waʔ						
𫊣							ŋɨ̯ɑ	ŋa						
吴							ŋʷɑ	ŋʷâ						疑一模平
悮							ŋʷɑᶜ	ŋʷâh						疑一模去
𦑥							tɕɑᶜ	tah						
䑂							jɑᴮ	laʔ						以開三廢上
𬬚							ljɑᶜ	rah						
濾							ljɑᶜ	rah				ras		來開三魚去
侣							ljɑᴮ	raʔ				raʔ		來開三魚上
鋁							ljɑᴮ	raʔ						來開三魚上
𠭯							tʂa	tsrâ						
婿							sjɑᶜ⸗seᶜ⸗sejᶜ	sah				sŋeːs		心開四齊去
葡							bɑ					baː		並一模平
賻							bʷɑᶜ	bah			bǐwa	bags	bjwaɣ	並三C虞去
疤							pa					praː		幫二麻平
𢀣							mʷɑ	ma						
咯							lɑk	râk						見開一唐入入
鴼							lɑk	râk						
郄							kʰɨ̯ak	kʰak						溪開三B庚入入
𡮂							kʰɨ̯ak	kʰrak						
鞟							kʷʰɑk	kʷʰâk						溪合一唐入入
矱							ɣʷak⸗ʔɥɑk	gʷrâk⸗wâk⸗ʔʷak						
覤							hɨ̯ak	hrak						
鱷							ŋɑk	ŋâk				ŋaːg		疑開一唐入入
蘁							ŋɑk⸗ŋɑᶜ	ŋâk⸗ŋâkh						
𢍰							jak⸗jɑk	lak						
䨣							pʰɑk	pʰâk						見開二耕入入
暯							mɑk	mâk						
幂							mek	mêk				meːg		
囥							kʰɑŋᶜ							
惊							kɥaŋᴮ	kʷraŋʔ						
絖							kʷʰɑŋᶜ	kʷʰâŋh						
横							ɣʷaŋ⸗kʷɑŋᶜ	gʷrâŋ⸗kʷâŋh				kʷaːŋ		
懭							kʷʰɑŋᴮ⸗kʷʰɑŋᶜ⸗kʰɑŋᴮ	kʷʰâŋʔ⸗kʷʰâŋh⸗kʰâŋʔ						
軦							hɥɑŋᶜ	hʷaŋh						
𢢌							tɕʰɑŋᴮ	tʰaŋʔ						
倘							tɕʰɑŋᴮ⸗tʰɑŋ⸗tʰɑŋᴮ	tʰaŋʔ⸗tʰâŋ⸗tʰâʔ				tʰaːŋʔ		透開一唐上
撐							ɖaŋ					rtʰaːŋ		徹開二庚平
𥛙							ɕɑŋ	l̥aŋ						
𥏫							ɕɑŋ⸗tsʰjɑŋ	l̥aŋ⸗s-l̥aŋ						
樣							jɑŋᶜ	jaŋh				laŋs		以開三陽去
輛							ljɑŋᶜ	raŋh				raŋs		來開三陽上⸗來開三陽去
爿							tsʰjɑŋ	tsʰaŋ				braːn⸗zaŋ		並二山平⸗從開三陽平
艕							pɑŋᶜ	pâŋh						
𠥓							pʷɑŋ	paŋ						
昺							pɨ̯aŋᴮ	praŋʔ				praŋʔ		
謊							hʷɑŋ⸗hʷɑŋᴮ	hʷâŋ⸗hʷâŋʔ				hmaːŋʔ		曉合一唐上⸗曉合三C陽上
㡛							mɑŋ	mâŋ						
𦣠							mʷɑŋᶜ	maŋh						
𧭅							mʷɑŋᶜ	maŋh						
駴							gɛᴮ	grə̂ʔ				grɯːʔ	grəɣ	匣開二皆上
倛							kʰɨ̯ə	kʰə						
𣇳							gɨ̯ə	gə						
䢋							kɨ̯əᶜ	kəs						
厩							kuᶜ	kuh						
𡧌							kuɨᴮ⸗kʷɨ̯əᴮ	kʷrəʔ						
脄							mə⸗məᶜ	mə̂⸗mə̂h				mɯːs⸗mɯː	mwəɣ	明一灰去⸗明一灰平
憘							hɨ̯əᴮ⸗hɨᴮ	həʔ						
暿							hɨ̯ə	hə						
熺							hɨ̯ə	hə						
箈							dəᴮ	lə̂ʔ						
𩟄							tɕʰəᶜ	k-hjəʔ						
裡							ljəᴮ	rəʔ						來開三之上
聏							ȵə	nə						
颸							tʂʰjə	tsʰrə⸗k-srə				shrɯ	tsʰiəɣ	初開三之平
阫							pʰə	pʰə̂						
㕻							pʰoᶜ	pʰôh						
咅							pʰoᶜ	pʰôh				pʰɯʔ⸗pʰuʔ⸗pʰl'oːs⸗tʰoːs		透一侯去
坶							mok	mok						明三C東入入
尅							kʰək	kʰə̂k						溪開一登入入
愅							kɛk	krə̂k						
窢							huɨk	hʷək						
衋							hɨk	hək					xiək	曉開三C蒸入入
㝵							tək	tə̂k						
蟘							dək	lə̂k						
疒							ɳɛk	nrə̂k⸗nrêk				rnɯːg⸗zraŋ	dziaŋ⸗nrek	孃開二耕入入⸗崇開三陽平
厠							tʂʰjəᶜ	tsʰrəkh						
䳭							tsɨk⸗tsjak	tsək⸗tsek						
嘿							mək	mə̂k						曉開一登入入
𡍷							kəŋᶜ	kə̂ŋh						
厷							kʷəŋ	kʷə̂ŋ						
擤							hɨŋᶜ	həŋh						曉開二庚上
䧹							ʔɨŋ	ʔəŋ						
㞼							dʑɨŋ	dəŋ						
灷							jɨŋᶜ	ləŋh						
蓤							lɨŋ	rəŋ						
傰							bəŋ	bə̂ŋ						
塴							pəŋᶜ	pə̂ŋh						
豀							ge	gê						
睚							ŋɛᶜ	ŋrêh				ŋreːs	ŋreɣ	疑開二佳去
窪							ʔʷaj	ʔʷrâj			0oe	qʷraː	ʔrwaɣ	影合二麻平
嶲							ɣʷe	wê				solʔ		心合三支上
瞡							kɥe	kʷe				kʷels⸗kʷils		見合三A支去⸗見合三A脂去
偍							de	dê						
攦							leᶜ	rêh						
蠫							leᴮ⸗leᶜ⸗lje	rêʔ⸗rêh⸗re						
攭							leᴮ⸗leᶜ⸗lje	rêʔ⸗rêh⸗re						
䳄							tsʰje	tsʰe						
髭							tsje	tse				ʔse		精開三支平
頾							tsje	tse				ʔse		精開三支平
些							sɑjᶜ⸗sɑᶜ					saːls⸗sjaːl⸗seːs	sjiaɣ	心開三麻平⸗心開一歌去⸗心開四齊去
厮							sje	se						
箎							ɖje	dre⸗r-le						
𢓊							sjeᴮ	seʔ						
蓰							sjeᴮ	seʔ				srelʔ		心開三支上⸗生開三支上
芈							mjeᴮ	meʔ						明三A支上
毄							kʰek	kʰêk						
䣓							kɛk	krêk						
扼							ʔɛk	ʔrêk				qreːg		影開二耕入入
轣							lek							
躃							pjek	pek				beg		並三A清入入
綻							ɖɛnᶜ	drîns			tean	rdeːns	drian	澄開二山去
灜							jeŋ	leŋ						
𡨴							neŋ	nêŋ						
觲							sjeŋ	seŋ						
静							dzjeŋᴮ	dzeŋʔ						
勾							ko	kô				koː		見一侯平
朐							gʷo	go				go		羣合三C虞平
袧							kʰo	kʰô						
齁							ho					qʰoː		曉一侯平
腢							ŋʷo⸗ŋoᴮ	ŋo⸗ŋôʔ						
𧱦							toᶜ	tôh					tew	端一侯去
厨							ɖjo	dro						澄合三虞平
㕑							ɖjo	dro						
斔							joᴮ	joʔ						
螤							joᴮ	joʔ						
寙							joᴮ	loʔ						
寠							gʷoᴮ	groʔ						
盨							sjoᴮ	snoʔ				sraʔ		生開三魚上
𨎮							tsowᴮ							
鳬							bʷo	bo						
秃							tʰok	tʰôk						透一東入入
䪅							dok⸗dʑok⸗tɕok	dôk⸗dok⸗tok						
𣀈							ʈɔk	trôk						
擉							tʂʰɔk	tsʰrôk				shroːg⸗rtʰoːg	tsʰrewk	初二江入入
踈							ʂɑ				ʃǐa		siaɣ	生開三魚去⸗生開三魚平
䲨							goŋ	gôŋ						
胸							hʷoŋ	hoŋ				qʰoŋ		曉三C鍾平
𢦨							joŋᴮ	loŋʔ						
湧							joŋᴮ	loŋʔ						以三鍾上
𦤘							joŋ	loŋ					riewŋ	以三鍾平
壟							ljoŋᴮ	roŋʔ				roŋʔ		來三鍾上
氄							ȵoŋᴮ	noŋʔ				njoŋʔ	njewŋ	日三鍾上
冗							ȵoŋᴮ	noŋʔ				njoŋʔ		日三鍾上
匆							tʂʰɔŋ	tsʰrôŋ				shloːŋ		清一東平
悤							tsʰoŋ	tsʰôŋ						清一東平
惾							tsoŋ	tsôŋ						
摓							bʷoŋ	boŋ						
峰							pʷʰoŋ	pʰoŋ				pʰoŋ		滂三C鍾平
䋽							poŋᴮ⸗pɔŋᴮ	pôŋʔ⸗prôŋʔ						
臯							kow	kû				kuː		見開一豪平
皞							gowᴮ	gûʔ						
韮							kuᴮ	kuʔ						
𣻏							kew	kjû						
糺							gɨ̯ɑwᴮ⸗kɨ̯ɑwᴮ	gawʔ⸗kawʔ						
髹							hu	hu				qʰu		曉三C尤平
𢝊							ʔu	ʔu						
𠾉							ɖu	dru						
倜							tʰek⸗tʰewk	tʰjûk			tʰiuk	tʰɯːwɢ	tʰeəwk	透開四青入入
褏							zjuᶜ⸗juᶜ	s-juh⸗juh						
䩜							ɖuᶜ	drjuh⸗r-ljuh						
鞗							dew	ljû⸗lîw				l'ɯːw		
鎥							dew	ljû						
焂							dʑuk	djuk						
逌							ju	ju						
䠓							tsjuk⸗tsʰjuk	tsjuk⸗tsʰjuk						
糔							suᴮ	suʔ				suʔ	sjəw	心三尤上⸗心開一豪上
鼜							tsʰek⸗tsʰewk	tsʰjûk				shɯːwɢ	tsʰeəwk	清開一豪去⸗清開四青入入
垺							pʰu⸗pʷʰo⸗pʰə	pʰo⸗pʰu⸗pʰə̂						
覿							dek⸗dewk	ljûk				l'juːg	deəwk	定開四青入入
脜							ȵuᶜ							
諔							tɕʰuk	tʰjuk						
蠨							sew	sjû						心開四蕭平
戇							ʈɔŋᶜ⸗hoŋᶜ	trûŋh⸗hôŋh			teɔŋ	kr'oːms⸗troːŋh⸗qʰloːms		知二江去⸗曉一東去
譹							gɑw	gâw						
嚆							haw	hâw						曉開二肴平
溔							jɑw	jaw				luːʔ		以開三宵上
榚							jɑw	jaw						
敿							kɨ̯ɑwᴮ	kawʔ						
撽							kʰewᶜ⸗kʰek	kʰjâwk⸗kʰjâwkh						溪開四蕭去
挍							kawᶜ	krâwh						
㝔							ʔewᴮ	ʔjâwʔ						
𡝩							ʔɨ̯ɑw	ʔaw						
宎							ʔewᴮ	ʔjâwʔ						影開四蕭平
穾							ʔew⸗ʔewᴮ⸗ʔewᶜ	ʔjâw⸗ʔjâwʔ⸗ʔjâwh						
髐							kʰew	kʰjâw						
𪔛							dɑw	lâw						
敹							lew	rjâw⸗rjû						來開四蕭平
燢							pʰjaw⸗pʰjawᶜ	pʰjaw⸗pʰjawh						
穮							pɨ̯aw	paw						
皫							pʰjawᴮ	pʰjawʔ				pʰrewʔ⸗pʰewʔ	pʰjiaw	滂三A宵上
耗							hɑwᶜ	hmâwh⸗m̥âws				hmaːws		曉開一豪去
淼							mjɑwᴮ	mjawʔ			mǐau	mewʔ	mjiaw	明三A宵上
礿							jɑk⸗jɑwk	jawk				lewɢ	riawk	以開三陽入入
鑃							dewᶜ	ljâwkh						
牱							kɑj	kâj						
𣟵							hɨ̯aj							
奓							ʈa⸗ʈaj	trâj				ʔr'aːl⸗traːl⸗ʔr'aːls⸗traːls	tra	知開二麻去⸗知開二麻平
竾							ɖjaj	draj⸗r-laj						
𨠑							jaj	laj						
訑							jaj⸗tʰɑj⸗tʷʰɑj	laj⸗l̥âj⸗l̥ôj						
迤							jaj	laj				lalʔ		以開三支上⸗以開三支平
袘							jaj	laj						
椸							jaj	laj					ria	
㢮							ɕajᴮ	l̥ajʔ						
髊							dzjeᶜ	dzeh				zlals	dzjia	從開三支去
攠							mɨ̯ɑj	maj						
麽							mɨ̯ɑjᴮ	majʔ				maːl		明一歌平
毁							hɥeᴮ⸗hɥɑjᴮ	hmajʔ						曉合三B支上⸗曉合三B支去
𩰫							kʷɑj	kôj⸗kʷâj						見合一歌平
𧒘							kʷɑjᴮ	kôjʔ						
卧							ŋʷɑᶜ⸗ŋʷɑjᶜ	ŋôjh⸗ŋʷâjh						
菙							dʑʷajᴮ	dojʔ				djolʔ	djiwa	常合三支上
𫌽							ɳɥajᶜ	nrojh						
蓌							tsʷɑjᶜ⸗tʂajᶜ	tsrôjh						
簑							sʷɑ⸗sʷɑj	sôj						
緳							kʰet⸗get	kʰêt⸗gêt						
喫							kʰas	kʰrâs				ŋ̥ʰeːg		溪開四青入入
紒							kes	kêts						
鴃							kʷet	kʷêt						見合四先入入
陧							ŋet	ŋêt						疑開四先入入
帠							ŋjas	ŋets						
摰							ŋet	ŋêt						疑開四先入入
别							pɨ̯at⸗bɨ̯at	pret⸗bret						並三B仙入入⸗幫三B仙入入
獘							bjas	bets						並三A祭去
䁾							met	mêt						明四先入入
𡟬							mjat	met						
彑							kɨ̯as	kats				krads		
歹							ŋɑt	ŋât						端開一咍上
鈦							des⸗dɑs	dês⸗dâs						透開一泰去
哳							ʈat	trât				ʔr'eːd⸗ʔr'aːd	trat	知開二刪入入
𨅊							ɖjat	dret						
𧓽							ljas	rats						
杀							tsʰɑs	tsʰâts⸗k-sât						
刹							tʂʰat					shraːd		初開二刪入入
缽							pɑt					poːd		幫一寒入入
𥄎							hɥat	hmat					xjiwat	明三C元入入⸗曉合三A仙入入⸗曉合三A清入入⸗曉合三B蒸入入
𠎮							kɥɑt	kot						
橛							gɥɑt	got				god		羣合三C元入入⸗見合三C元入入
嶡							kɥas	gots						
𢪏							ɣʷət	wə̂t⸗gʷə̂t						匣合一魂入入
粤							wɑt	wat						云合三C元入入
涚							ɕʷas⸗tsʰɥas	l̥ots⸗tsʰots⸗s-l̥ots				hljods		
敚							dʷɑt	lôt						定合一寒入入
棁							tɕʷat	tot				l̥ʰoːd⸗ʔljod⸗l̥ʰuːd		透合一寒入入⸗透合一魂入入
絶							dzɥat	dzot						
嫻							gɛn	grên				greːn		匣開二山平
韊							lɑn	rân				g·raːn		
㜏							wun	wən						
噮							ɣʷenᶜ	ʔʷêns				qʷeːns	ʔewan	影合四先去
夐							hʷenᶜ⸗hɥeŋᶜ	hʷêns⸗hʷeŋh				qʰʷeːns⸗qʰʷeŋs		曉合四先去⸗曉合三A清去
曣							ʔenᶜ	ʔêns						
𨇤							sen	sên						
姧							kɑn	kân						
濣							gʷɑnᴮ	gʷânʔ						
囝							kɨ̯anᴮ	kanʔ				kranʔ		泥開一覃平⸗見開三B仙上
妟							ʔanᶜ	ʔrâns						
磾							te	tê				teːl		端開四齊平
㺗							ʈʰɛn	tʰrên					tʰrian	初開二山平
聯							ljan	ran⸗ren				g·ron		來開三仙平
𪄿							nɑn	nân						
撒							sɑt	sât				saːd		心開一寒入入
删							ʂan					sraːn		
㹪							sɑn⸗ʂan							
薩							sɑt					saːd		心開一寒入入
犿							pʷʰɑn	pʰan				blon⸗qʰloːn		曉合一寒平
僈							manᶜ	mrâns						
鄤							mɑnᶜ	mâns						
悗							mɑn⸗mənᴮ	mân⸗mə̂nʔ				moːn	mwan	明一寒平
勌							gɥanᶜ	gons						
㹖							ɣʷanᶜ	grôns						
𥆞							kɥanᶜ	kons						
奂							hʷɑnᶜ	hʷâns						
涣							hʷɑnᶜ	hʷâns						
焕							hʷɑnᶜ	hʷâns						
换							ɣʷɑnᶜ	wâns						
暖							hɥɑn⸗hɥɑnᴮ⸗nʷɑnᴮ	hʷan⸗hʷanʔ⸗nônʔ			nuan	noːnʔ	nwan	泥合一寒上
𤴯							ɣʷɑnᶜ	wâns					gwan	匣合一寒去
碗							ʔʷɑnᴮ	ʔônʔ				qoːnʔ		影合一寒上
魭							ŋɥɑn	ŋʷan						
輐							ɣʷɑnᶜ⸗ŋʷɑnᴮ⸗ŋʷɑnᶜ	gʷâns⸗ŋʷânʔ⸗ŋʷâns						
縳							ɖɥanᴮ	dronʔ				donʔ⸗dons		
腞							ɖɥanᴮ⸗ʈʰɥanᴮ	dronʔ⸗tʰronʔ						
兖							jʷanᴮ	lonʔ				lonʔ		以合三仙上
𧍒							ȵʷanᴮ	nonʔ						
瓀							ȵʷan⸗ȵʷanᴮ	non⸗nonʔ						
鎸							tsɥan	tson						
𥣚							tsʷɑnᴮ	tsônʔ						從合一寒平
𩨒							kɨ	kri						
豑							ɖit	drit					diət	澄開三真入入
侇							ji	ləj						
䀢							ɕʷinᶜ	hʷins					stʰjiwən	書開三之平⸗書開三侵上⸗書合三真去
䔧							li	ri						
䔣							lej⸗li	rî⸗ri						
𨹷							tsej⸗tsejᶜ	tsî⸗tsîh						
艩							dzej	dzî						
姉							tsiᴮ	tsiʔ						
柹							dʐiᶜ	dzrih				zrɯʔ		崇開三之上
庀							pʰiᴮ⸗pʰjeᴮ	pʰiʔ⸗pʰeʔ			pʰǐei	pʰelʔ	pʰjie	滂三A支上
粃							piᴮ	piʔ						
屁							pʰiᶜ	pʰih			ｐǐei	pʰis		滂三A脂去
𣬉							bi	bi⸗bli						
𧽊							gəj	gə̂j						
剕							bʷiᶜ	bəjh						
厞							bʷiᶜ	bəjh				bɯls		
陫							bʷiᴮ⸗bʷiᶜ	bəjʔ⸗bəjh				bɯlʔ	bjiwər	並三C微上
廻							ɣʷəj	wə̂j						匣合一灰平
蛔							ɣʷəj	wə̂j				guːl		匣合一灰平
喂							ʔʷiᶜ	ʔujh						影合三C微去
餵							ʔʷiᶜ	ʔujh				qrols		影合三C微去
㟪							ʔʷiᴮ⸗ʔʷəjᴮ	ʔujʔ⸗ʔûjʔ						影合三C微平
䳡							tɕʷi	tuj						
𧫖							lʷiᴮ	rujʔ						
礨							lʷiᴮ	rujʔ						
鞂							kɛt	krît				kriːd	kriat	見開二山入入
鴥							wit	wit						
譿							ɣʷes	wîs						
僪							gʷit	gʷit						
獝							gʷit	gʷit				qʰʷid		曉合三A真入入
瞲							hʷis⸗hʷet	hʷits⸗hʷît				qʰʷilʔ⸗qʰʷids⸗qʰʷiːd	xewət	曉合四先入入
欥							jit	jit⸗lit				ɢʷlid⸗lid	riwət	以合三真入入⸗以開三真入入
臸							ȵit	nit				njig⸗tjɯ	njiet	日開三真入入⸗章開三之平
𠮟							tɕʰit	tʰit						昌開三真入入
鴄							pʰit	pʰit				pʰid		
𦤫							bis	bits						
㧙							bit	bit						
𧥑							pit	pit						
刉							kɨj	kəj						
曃							tʰəs	l̥ə̂s				l̥ʰɯːds	tʰər	透開一咍去
乀							pʰut							滂三C文入入
𤤄							mət	mə̂t						
脗							munᴮ⸗minᴮ	mənʔ⸗munʔ⸗minʔ				minʔ		明三A真上
䐇							munᴮ⸗minᴮ	mənʔ⸗munʔ⸗minʔ						明三A真上
阢							ŋʷət	ŋût						疑合一灰平⸗疑合一魂入入
卼							ŋʷət	ŋût				kʰruls		
鈯							gut⸗gʷɑt	gut⸗got				l'uːd		定合一魂入入
誳							kʰut	kʰut						
㤜							huɨt	hʷit						曉合三A真入入
繂							lʷit	rut				rud		來合三真入入
膟							lʷit	rut				rud	liwət	來合三真入入
鮌							kʷənᴮ	kʷə̂nʔ						
狥							zʷinᶜ⸗zʷin	s-ʷins⸗s-ʷin						
橁							sʷin	sʷin						
婣							ʔin	ʔin				qin		影開三A真平
嵮							den	dîn						
螴							ɖin	drin						
絼							ɖinᴮ	drinʔ⸗r-linʔ						
𨌈							den	lîn					den	定開四先平
焛							linᶜ							
晋							tsinᶜ	tsins						
戬							tsinᴮ	tsinʔ						
贐							dzinᶜ	dzins						從開三真上⸗從開三真去
峷							ʂin	srin						
亲							tʂin	tsrin						
䒖							sinᶜ	sins						
𣧟							menᴮ⸗mʷən⸗hʷən	mînʔ⸗mə̂n⸗hmə̂n						
昬							hʷən	hmə̂n						
涽							hʷən	hmə̂n						
佷							gənᴮ	gə̂nʔ						匣開一痕上
肵							gɨj	gəj						
卺							kɨ̯ənᴮ	kənʔ						
㢙							gɨ̯ən	gən						
瞚							ɕʷinᶜ					hljuns	stʰjiwən	書合三真去
翂							pun	pən						
玟							mɨn	mrən⸗mun				mɯːl		明三B真平⸗明一灰平
崑							kʷən	kûn						見合一魂平
蓘							kʷənᴮ	kûnʔ						見合一魂上
瘝							kʷɛn	kʷrə̂n						見合二山平
甽							kʷenᴮ	kʷînʔ				kljuns⸗kʷeːnʔ		
睏							kʷʰənᶜ	kʰûns						溪合一魂去
捆							kʷʰənᴮ	kʰûnʔ				kʰuːnʔ		溪合一魂上
攟							kunᶜ	kʷəns						
焄							hun	hʷən				qʰlun	xjwən	曉合三C文平
輼							ʔʷən	ʔûn				quːn		影合一魂平
緼							ʔunᴮ⸗ʔunᶜ⸗ʔun	ʔunʔ⸗ʔuns⸗ʔun⸗ʔûn				quːn⸗qun⸗qunʔ⸗quns		影合三C文上⸗影合三C文去⸗影合三C文平⸗影合一魂平
蜳							tʷən	tûn						
萅							tɕʷʰin	tʰun						
鈗							jʷinᴮ	junʔ						
崙							lʷən	rûn						來合一魂平
簨							sʷinᴮ	sunʔ				sqʰunʔ	sjiwən	心合三真上
刦							kɨ̯ɑp	kap						
盇							gɑp	gâp						
葢							gɑp⸗kɑs	gâp⸗kâts⸗kâps						
浹							tsep	tsêp				skaːb⸗skeːb	tseap	精開四添入入
