	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
堖				nagʷx		nˤuʔ								泥開一豪上
惱				nagʷx		nˤuʔ	nɑwᴮ	nâwʔ			nau	nuːʔ	naw	泥開一豪上
㛴				nagʷx		nˤuʔ					nau		naw	泥開一豪上
嫂				səgʷx		sˤuʔ	sowᴮ	sûʔ			su	suːwʔ	səw	心開一豪上
𦺋				səgʷx									səw	心開一豪上⸗生三尤平
㠀				təgʷx							tu		təw	端開一豪上
禂				təgʷx		tˤuʔ	towᴮ	tûʔ				tuːwʔ	təw	端開一豪上
䮻				təgʷx		tˤuʔ							təw	端開一豪上
壔				təgʷx		tˤuʔ						tuːʔ	təw	端開一豪上
艸				tsʰəgʷx		tsʰˤuʔ	tsʰowᴮ	tsʰûʔ				shuːʔ	tsʰəw	清開一豪上
璪				tsagʷx		tsˤauʔ	tsɑwᴮ	tsâwʔ			tsau	ʔsaːwʔ	tsaw	精開一豪上
璅				tsagʷx		tsˤauʔ						ʔslaːwʔ	tsaw	精開一豪上
稾				kagʷx⸗kʰagʷh		kˤauʔ⸗kʰˤauh						kaːwʔ⸗kʰaːws	kaw⸗kʰaw	溪開一豪去⸗見開一豪上
夰				kəgʷx		kˤauʔ⸗ɡˤauʔ						kuːʔ⸗guːʔ	kəw	匣開一豪上⸗見開一豪上
槀				kagʷx		kˤauʔ⸗kʰˤauʔ						kaːwʔ	kaw	見開一豪上⸗溪開一豪上
㚖				kəgʷx		kˤuʔ							kəw	昌開三清入入⸗見開一豪上
菒				kagʷx		kˤauʔ						kaːwʔ	kaw	見開一豪上
𠔼				məgʷx⸗məgʷh			moᶜ	môh					məw	明一侯去⸗明一豪上
緥				pəgʷx		pˤuʔ						puːʔ	pəw	幫一豪上
駂				pəgʷx		pˤuʔ						puːʔ	pəw	幫一豪上
𠤏				pəgʷx		pˤuʔ							pəw	幫一豪上
芺				ʔagʷx		ʔˤauʔ⸗ʔ(r)auʔ						qoːwʔ⸗qrowʔ	ʔaw	影開三B宵上⸗影開一豪上
𪁾				ʔagʷx		ʔˤauʔ							ʔaw	影開一豪上
攷				kʰəgʷx		kʰɫˤuʔ	kʰowᴮ	kʰûʔ				kʰluːʔ	kʰəw	溪開一豪上
槁				kʰagʷx			kʰɑwᴮ⸗kɑwᴮ	kʰâwʔ⸗kâwʔ				kaːwʔ⸗kʰaːwʔ	kʰaw	溪開一豪上
祰				kʰəgʷx⸗kəkʷ		kˤuk⸗kʰˤuʔ						kʰuːʔ⸗kuːg	kʰəw⸗kəwk	溪開一豪上⸗見一冬入入
陊				rarx			ɖeᴮ⸗ɖjajᴮ	drajʔ⸗r-lajʔ				l'aːlʔ⸗l'alʔ	dia⸗da	定開一歌上⸗澄開三支上
騀				ŋarx		ŋˤaiʔ						ŋaːlʔ	ŋa	疑開一歌上
砢				larx								g·raːlʔ	la	來開一歌上
