	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
蕻	匣一東去			gloːŋs						ɡˤoŋh					✓
閧	匣一東去・匣二江去														
鬨	匣一東去・匣二江去	goŋᶜ・gɔŋᶜ	grôŋh	groːŋs・gloːŋs	[g]ˤoŋ-s			guŋh	g(ɫ)ˁɔŋh（hòng）	ɡˤoŋh・ɡrˤoŋh	g⁽ʱ⁾oːŋh（hòng）		ɣɔŋ	gewŋ・grewŋ	✓
斛	匣一東入	gok	gôk	goːg				guk		ɡˤok			ɣɔk	gewk	✓
槲	匣一東入			goːg						ɡˤok					✓
焀	匣一東入			gloːg											✓
縠	匣一東入	gok	gôk	gloːg				guk		ɡˤok				gewk	✓
蔛	匣一東入			goːg						ɡˤok					✓
螜	匣一東入							guk		ɡˤok				gewk	✓
觳	匣一東入・溪二江入	gok・gɔk・kʰɔk	gôk・grôk・kʰrôk	kʰroːg・goːg				guk・kʰruk		kʰrˤok・ɡˤok			ɣɔk	gewk・kʰrewk	✓
㽇	匣一東入														
䈸	匣一東入									ɡˤok					✓
䶜	匣一東入・見一冬入									kˤuk					✓
𣫈	匣一東入														
𣹬	匣一東入							guk		ɡˤok					✓
𧂔	匣一東入									ɡˤok					✓
嚨	來一東平			roːŋ				luŋ		rˤoŋ				lewŋ	✓
屸	來一東平			g·roːŋ											✓
朧	來一東平			roːŋ・roŋs						rˤoŋ			lɔŋ		✓
櫳	來一東平			roːŋ				luŋ		rˤoŋ			lɔŋ	lewŋ	✓
瀧	來一東平・來二江平・生二江平			rroːŋ・sroːŋ・roːŋ				luŋ		rˤoŋ				lewŋ	✓
瓏	來一東平			roːŋ				luŋ		rˤoŋ			lɔŋ	lewŋ	✓
矓	來一東平														
聾	來一東平	loŋ	rôŋ	roːŋ	C.rˤoŋ			luŋ	ɹˁɔŋ（lóng）	rˤoŋ	rʱoːŋ（lóng）		lɔŋ	lewŋ	✓
蘢	來一東平・來三鍾平	loŋ・ljoŋ	rôŋ・roŋ	roːŋ・roŋ				luŋ		rˤoŋ・roŋ				liewŋ	✓
蠪	來一東平	loŋ	rôŋ	roːŋ				luŋ		rˤoŋ				lewŋ	✓
豅	來一東平			roːŋ				luŋ		rˤoŋ				lewŋ	✓
鸗	來一東平・來三鍾平			roːŋ・roŋ						rˤoŋ・roŋ					✓
㟅	來一東平・疑一東平・疑二江平														
㰍	來一東平							luŋ		rˤoŋ				lewŋ	✓
䆍	來一東平									rˤoŋ					✓
䪊	來一東平									rˤoŋ					✓
𡃡	來一東平									rˤoŋ					✓
𤮨	來一東平									rˤoŋ					✓
𧙥	來一東平														
𨏠	來一東平									rˤoŋ					✓
𩟭	來一東平									rˤoŋ					✓
𪚗	來一東平									rˤoŋ					✓
儱	來一東上・來三鍾去			roːŋʔ・roŋs						rˤoŋʔ・roŋh					✓
巃	來一東上・來一東平			roːŋʔ						rˤoŋ・rˤoŋʔ				lewŋ	✓
攏	來一東上			roːŋʔ						rˤoŋʔ			lɔŋ		✓
曨	來一東上・來一東平			roːŋ・roːŋʔ						rˤoŋ・rˤoŋʔ					✓
竉	來一東上			roːŋʔ						rˤoŋʔ					✓
籠	來一東上・來一東平・來三鍾平	loŋ・loŋᴮ	rôŋ・rôŋʔ	roːŋ・roːŋʔ・roŋ	k.rˤoŋ・k.rˤoŋʔ			luŋ・ljuŋ・luŋx	ɹˁɔŋ（lóng）・ɹˁɔŋʔ（lǒng）	rˤoŋ・rˤoŋʔ・roŋ	roːŋ（lóng）		lɔŋ・lɔŋ	lewŋ・liewŋ・lewŋ	✓
襱	來一東上・來一東平・澄三鍾上			roːŋ・roːŋʔ・r'oŋʔ				luŋ・luŋx・drjuŋx		rˤoŋ・rˤoŋʔ				lewŋ・lewŋ・diewŋ	✓
龓	來一東上・來一東平			roːŋ・roːŋʔ				luŋ		rˤoŋ・rˤoŋʔ				lewŋ	✓
𢤱	來一東上									rˤoŋʔ					✓
哢	來一東去			roːŋs						rˤoŋh					✓
