	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
溼	書開三侵入	ɕip	l̥əp	hŋjɯb	s-[qʰ][i]p	hjɨp・hjup	se̠p	hrjəp	l̥əp（shī）	l̥əp	l̥əp（shī）		ɕǐəp	stʰjiəp	✓
濕	書開三侵入・透開一覃入	ɕip・tʂʰip・kʰɨp	l̥əp・tsʰrəp・k-srəp・kʰəp	ŋ̥ʰl'ɯːb・tŋ̥ʰɯːb・tʰɯːb・hŋjɯb	[qʰ]ip	hjɨp・hjup		hrjəp	l̥əp（shī）	l̥ˤəp⏪濕・l̥ˤəp・l̥əp	l̥ip（shī）	slip（shī）	ɕǐəp	stʰjiəp	✓
䏉	書開三侵入									l̥əp					✓
葚	船開三侵上	ʑimᴮ・dʑimᴮ	dəmʔ	ɦljumʔ	sə-d[ə]mʔ	sGjumʔ	sdu̠mʔ	djəmx	dəmʔ（shèn）	dəmʔ	d⁽ʱ⁾ə́m（shèn）	d⁽ʱ⁾əːmʔ（shèn）	ȡǐəm	zdjiəm	✓
𣞵	船開三侵上									dəmʔ					✓
壬	日開三侵平	ȵim	nəm	l̥ʰeːŋʔ・njɯm	n[ə]m	njɨm	nu̠m	njəm	nəm（rén）	nəm	nəm（rén）		ȵǐəm	njiəm	✓
恁	日開三侵上・日開三侵平	ȵimᴮ	nəmʔ	njɯm・njɯmʔ	n[ə]mʔ			njəmx	nəmʔ（rèn）	nəm・nəmʔ	n⁽ʱ⁾əm（rèn）			njiəm	✓
栠	日開三侵上			njɯmʔ				njəmx		nəmʔ				njiəm	✓
棯	日開三侵上			njɯmʔ						nimʔ❓					✓
稔	日開三侵上	ȵimᴮ	nimʔ	njɯːm	nimʔ			njəmx	nimʔ（rěn）	nimʔ❓	n⁽ʱ⁾ím（rěn）		ȵǐəm	njiəm	✓
腍	日開三侵上	ȵimᴮ	nimʔ	njɯmʔ						nimʔ❓				njiəm	✓
荏	日開三侵上	ȵimᴮ	nəmʔ	njɯmʔ	n[ə]mʔ・num❓		nu̠mʔ	njəmx	nəmʔ（rěn）	nəmʔ	n⁽ʱ⁾ə́m（rěn）		ȵǐəm	njiəm	✓
袵	日開三侵上	ȵimᴮ・ȵimᶜ	nəmʔ・nəms	njɯmʔ						nəmʔ					✓
銋	日開三侵上・日開三侵平			njɯm・njɯmʔ						nəm・nəmʔ					✓
飪	日開三侵上	ȵimᴮ	nəmʔ	njɯmʔ	n[ə]mʔ		nu̠mʔ	njəmx	nəmʔ（rèn）	nəmʔ				njiəm	✓
餁	日開三侵上			njɯmʔ						nəmʔ					✓
䇮	日開三侵上									nəmʔ					✓
䏕	日開三侵上									nəmʔ					✓
䭃	日開三侵上									nimʔ❓					✓
𢆉	日開三侵上	ȵimᴮ	nəmʔ					njəmx						njiəm	✓
任	日開三侵去・日開三侵平	ȵim・ȵimᶜ	nəm・nəms	njɯm・njɯms	n[ə]m-s		nu̠m・nu̠ms	njəm・njəmh	nəmh（rèn）	nəm・nəmh	nəm（rén）		ȵǐəm・ȵǐəm	njiəm・njiəm	✓
妊	日開三侵去	ȵimᶜ	nəms	njɯms				njəmh		nəmh			ȵǐəm	njiəm	✓
絍	日開三侵去	ȵimᶜ	nəms							nəmh			ȵǐəm		✓
衽	日開三侵去	ȵimᴮ・ȵimᶜ	nəmʔ・nəms	njɯms	n[ə]mʔ・n[ə]mʔ-s		nu̠ms	njəmh	nəmʔ（rèn）・nəmh（rèn）	nəmh	n⁽ʱ⁾ə́m（rèn）		ȵǐəm	njiəm	✓
入		ȵip	nəp・nup	njub	n[u]p	njup	nu̠p	njəp	nəp（rù）	nəp	nəp（rù）		ȵǐəp	njiəp	✓
廿	日開三侵入			njɯb				njəp		nəp			ȵǐəp	njiəp	✓
冘	以開三侵平・以三尤平	jim	ləm	lu・lum				rəm		lu				riəm	✓
婬	以開三侵平			lɯm				rəm		ləm			ʎǐəm	riəm	✓
撢	以開三侵平・透開一覃去・透開一覃平	tʰəm	l̥ə̂m	l̥ʰɯːm・l'ɯːms・lɯm・ʔl'aːnʔ・taːnʔ				tʰəm・tʰəmh		ləm			tʰəm	tʰəm・tʰəm	✓
淫	以開三侵平	jim	ləm	lɯm	N.r[ə]m		je̠m	rəm	ɫəm（yín）	ləm			ʎǐəm	riəm	✓
碪	以開三侵平・知開三侵平			ʔl'um・tum						trəm					✓
蟫	以開三侵平・定開一覃平			l'ɯːm・lɯm				rəm		lˤəm・ləm			ʎǐəm	riəm	✓
鐔	以開三侵平・定開一覃平・邪開三侵平	dəm・jim・zim	lə̂m・ləm・s-ləm	l'ɯːm・ljɯm・lɯm				rjəm・rəm・dəm		lˤəm・ləm			zǐəm・dəm	rjiəm・riəm・dəm	✓
霪	以開三侵平	jim	ləm	lɯm						ləm			ʎǐəm		✓
鱏	以開三侵平・邪開三侵平	jim・zim	ləm・s-ləm	ljɯm・lɯm				rjəm・rəm		ləm				rjiəm・riəm	✓
鷣	以開三侵平・以開三宵去			luː・lews・lɯm						ləm					✓
㸒	以開三侵平	jim	ləm		[N.]r[ə]m			rəm	ɫəm（yín）	ləm				riəm	✓
䒞	以開三侵平・澄開三侵平・端開一談上							drjəm・rəm		drəm				diəm・riəm	✓
䤁	以開三侵平・從開三侵平							rəm・dzjəm						riəm・dzjiəm	✓
𢓕	以開三侵平														
𥮍	以開三侵平									ləm					✓
𨟏	以開三侵平							rəm						riəm	✓
潭	以開三侵上・定開一覃平	dəm	lə̂m	l'ɯːm・lɯmʔ	[l]ˤ[ə]m			dəm・rəmx	[l]ˁəm（tán）	lˤəm	lʱəːm（tán）		dəm	dəm・riəm	✓
孴	以開三侵入・疑開三C之上			ŋɯʔ・lɯb						lip					✓
䫴	云開三B侵去・羣開三B侵上									ɡrəmʔ					✓
𪔰	云開三B侵去														
曄	云開三B侵入・云開三B鹽入			ɢʷab・ɢʷɯb						wrap			ɣǐap	ɣiəp・ɣiap	✓
煜	云開三B侵入・以三東入	juk・jəp	luk・juk・ləp・jəp	ɢrub・lug	ɢʷrəp		gru̠p	gwrjək	ɫuk（yù）	luk			ʎǐwək	ɣriwək	✓
熠	云開三B侵入・以開三侵入	jəp・wəp	wəp	ɢrub・lub			ʁre̠p	gwjəp・rəp		ləp			ʎǐəp	ɣiəp	✓
騽	云開三B侵入・邪開三侵入	zip	s-ləp	ljub・ɢrub				rjəp・gwjəp		sləp				rjiəp・ɣiəp	✓
怎	精開三侵上														
搬	幫一寒平	pɑn	pân	paːn	Cə.pˤan				pˁ[a]n（bān）	pˁ[a]n❓	paːn（bān）				✓
𤳖	幫一寒平														
粄	幫一寒上			paːnʔ											✓
䉽	幫一寒上														
䬳	幫一寒上														
半	幫一寒去	pɑnᶜ	pâns	paːns	pˤan-s		pans	panh	pˁ[a]nh（bàn）	pˤanh	paːnh（bàn）		puan	pwan	✓
姅	幫一寒去・滂一寒去	pɑnᶜ	pâns	paːns・pʰaːns				panh・pʰanh		pˤanh・pʰˤanh				pwan・pʰwan	✓
絆	幫一寒去	pɑnᶜ	pâns	paːns・plaːns				panh		pˤanh			puan	pwan	✓
靽	幫一寒去	pɑnᶜ	pâns	paːns						pˤanh				pwan	✓
㪵	幫一寒去							panh		pˤanh				pwan	✓
𠯘	幫一寒去														
𩢔	幫一寒去									pˤanh					✓
帗	幫一寒入・幫三C文入	pʰut	pʰət	poːd・pud				pat		pˤat・pət				pwat	✓
撥	幫一寒入	pɑt	pât	paːd	pˤat	bat・pat	pat	pat	p[a]t（bō）	pˤat	paːt（bō）	paːt（bō）	puat	pwat	✓
癶	幫一寒入	pɑt	pât	paːd						pˤat				pwat	✓
盋	幫一寒入			poːd						pˤat					✓
缽	幫一寒入	pɑt		poːd											✓
袚	幫一寒入・幫三C廢去			poːd				pat		pˤat				pwat	✓
襏	幫一寒入	pɑt	pât	paːd						pˤat				pwat	✓
鉢	幫一寒入			poːd											✓
驋	幫一寒入			paːd						pˤat					✓
鮁	幫一寒入														
鱍	幫一寒入・滂一寒入			paːd・pʰaːd						pˤat・pʰˤat					✓
䢌	幫一寒入							pat		pˤat				pwat	✓
𦪑	幫一寒入									pˤat					✓
𩯌	幫一寒入									pˤat					✓
拌	滂一寒平・並一寒上	pʰɑn	pʰân	pʰaːn・baːnʔ						pʰˤan・bˤanʔ			buan	pʰwan	✓
潘	滂一寒平	pʰɑn	pʰân	pʰaːn				pʰan		pʰˤan			pʰuan	pʰwan	✓
㢖	滂一寒平									pʰˤan					✓
㽃	滂一寒平									pʰˤan					✓
𤺏	滂一寒平									pʰˤan					✓
坢	滂一寒上			pʰaːnʔ						pʰˤanʔ					✓
𧺾	滂一寒上									pʰˤanʔ					✓
冸	滂一寒去			pʰaːns						pʰˤanh					✓
判	滂一寒去	pʰɑnᶜ	pʰâns	pʰaːns	pʰˤan-s		phans	pʰanh	pʰˁ[a]nh（pàn）	pʰˤanh	pʰaːnh（pàn）		pʰuan	pʰwan	✓
沜	滂一寒去			pʰaːns											✓
泮	滂一寒去	pʰɑnᶜ	pʰâns	pʰaːns		pʰans	phans	pʰanh	pʰˁ[a]nh（pàn）	pʰˤanh	pʰaːnh（pàn）	pʰaːnh（pàn）	pʰuan	pʰwan	✓
牉	滂一寒去	pʰɑnᶜ	pʰâns	pʰaːns						pʰˤanh				pʰwan	✓
眫	滂一寒去														
頖	滂一寒去	pʰɑnᶜ	pʰâns	pʰaːns						pʰˤanh				pʰwan	✓
潑	滂一寒入			pʰaːd											✓
鏺	滂一寒入			pʰaːd				pʰat		pʰˤat			pʰuat	pʰwat	✓
㧊	滂一寒入							pʰat		pʰˤat				pʰwat	✓
䍨	滂一寒入									pʰˤat					✓
䣪	滂一寒入							pʰat		pʰˤat				pʰwat	✓
𠷑	滂一寒入									pʰˤat					✓
𢯸	滂一寒入							pʰat		pʰˤat					✓
𣸍	滂一寒入									pʰˤat					✓
𦫔	滂一寒入									pʰˤat					✓
𧘟	滂一寒入							pʰat		pʰˤat					✓
𨂩	滂一寒入							pʰat		pʰˤat					✓
𨡩	滂一寒入									pʰˤat					✓
幋	並一寒平			baːn				ban		bˤan			buan	bwan	✓
柈	並一寒平	bɑn	bân	baːn						bˤan				bwan	✓
槃	並一寒平	bɑn	bân	baːn			ban	ban		bˤan			buan	bwan	✓
瘢	並一寒平			baːn				ban		bˤan			buan	bwan	✓
盤	並一寒平	bɑn	bân	baːn・blaːn	[b]ˤan			ban	bˁ[a]n（pán）	bˤan	baːn（pán）		buan	bwan	✓
磐	並一寒平	bɑn	bân	baːn						bˤan			buan	bwan	✓
磻	並一寒平			baːn				ban		bˤan			buan	bwan	✓
縏	並一寒平	bɑn	bân	baːn						bˤan				bwan	✓
蹣	並一寒平・明一寒平			boːn・moːn						mˤan					✓
鎜	並一寒平			baːn						bˤan					✓
鞶	並一寒平	bɑn	bân	baːn				ban		bˤan			buan	bwan	✓
䈲	並一寒平・幫一寒平									pˤan・bˤan					✓
䰉	並一寒平・幫二刪平							ban・pran		prˤan・bˤan			buan	bwan・prwan	✓
𤠍	並一寒平									bˤan					✓
𥈼	並一寒平							ban		bˤan				bwan	✓
𪄀	並一寒平									bˤan					✓
𪒀	並一寒平							ban		bˤan				bwan	✓
伴	並一寒上・並一寒去	pʰɑnᶜ	pʰâns・bânʔ	baːnʔ・baːns	[C.b]ˤanʔ		phans	banx・banh	bˁ[a]nʔ（bàn）	bˤanʔ・bˤanh	bháːn（bàn）		buan・pʰuan	bwan・bwan	✓
㚘	並一寒上									bˤanʔ				bwan	✓
叛	並一寒去	bɑnᶜ	bâns	baːns				banh		bˤanh			pʰuan	bwan	✓
畔	並一寒去	bɑnᶜ	bâns	baːns	m-pʰˤan-s		phans	banh	bˁ[a]nh（pàn）	bˤanh	b⁽ʱ⁾aːnh（pàn）		pʰuan	bwan	✓
𡞟	並一寒去									bˤanh					✓
妭	並一寒入			boːd				bat		bˤat				bwat	✓
炦	並一寒入			boːd				bat		bˤat				bwat	✓
犮	並一寒入	bɑt	bât	boːd				bat		bˤat				bwat	✓
癹	並一寒入	bɑt	bât	pʰaːd・baːd				bat		bˤat				bwat	✓
胈	並一寒入	pɑt	pât	boːd	pˤot			bat	p[a]t（bá）	bˤat	paːt（bo）			bwat	✓
茇	並一寒入・幫一寒入	bɑt・pɑt	bât・pât・bât-dap	poːd	m-pˤ[a]t・pˤ[a]t	bat		pat・bat	b[a]t（bá）・p[a]t（bá）	pˤat・bˤat	b⁽ʱ⁾aːt（bá）	baːt（bá）	buat	pwat・bwat	✓
跋	並一寒入	bɑt	bât	boːd			bot	bat		bˤat			buat	bwat	✓
軷	並一寒入・並一泰去	bɑt・bɑs	bât・bâts・bât-dap	boːds・boːd	[b]ˤ[a]t	bat		bat	b[a]t（bá）	bˤat・bˤath	b⁽ʱ⁾aːt（bá）	b⁽ʱ⁾aːt（bá）	buat	bwar・bwat	✓
鈸	並一寒入			boːd						bˤat					✓
颰	並一寒入・幫三C元入			boːd・pod						bˤat・pat					✓
馛	並一寒入			boːd						bˤat					✓
魃	並一寒入	bɑt	bât	boːd			bot	bat		bˤat			buat	bwat	✓
鼥	並一寒入														
䚨	並一寒入・幫三C廢去							pjadh		bˤat・path				pjwar	✓
䟛	並一寒入・幫三C微去									path					✓
䣮	並一寒入			boːd						bˤat					✓
䮂	並一寒入									bˤat					✓
䯋	並一寒入・溪開一寒入									bˤat					✓
䳊	並一寒入・幫一寒入							pat		pˤat・bˤat				pwat・bwat	✓
𢇷	並一寒入							bat		bˤat				bwat	✓
𧺡	並一寒入														
𧺺	並一寒入									bˤat					✓
𩃶	並一寒入									bˤat					✓
悗	明一寒平	mɑn・mənᴮ	mân・mə̂nʔ	moːn										mwan	✓
慲	明一寒平			moːn				man		mˤan				mwan	✓
槾	明一寒平			moːn				man		mˤan				mwan	✓
瞞	明一寒平	mɑn	mân	moːn	mˤ[o][r]			man	mˁ[a]l（mán）	mˤan	maːn（mán）	mʱəːr（mán）	muan	mwan	✓
鞔	明一寒平	mɑn	mân	moːn				man					muan	mwan	✓
顢	明一寒平			moːn						mˤan			muan		✓
饅	明一寒平			moːn						mˤan					✓
鰻	明一寒平・明三C元去			moːn・mons				man・mjanh		mˤan・manh			muan	mwan・mjwan	✓
㒼	明一寒平	mɑn	mân					man		mˤan				mwan	✓
䊡	明一寒平									mˤan					✓
䜱	明一寒平									mˤan					✓
䟂	明一寒平・明一魂平							man		mˤan				mwan	✓
𤡁	明一寒平									mˤan					✓
懣	明一寒上・明一魂上・明一魂去	mɑnᴮ・mənᴮ・mənᶜ	mânʔ・mə̂nʔ・məns	moːnʔ・muːnʔ・muːns	mˤ[o][n]ʔ			mənx・manx・mənh	mˁ[a]lʔ（mèn）	mˤanʔ・mˤənʔ・mˤənh	m⁽ʱ⁾áːn（mèn）		muan・muan	mwən・mwan・mwən	✓
滿	明一寒上	mɑnᴮ	mânʔ	moːnʔ	mˤ[o][n]ʔ			manx	mˁ[a]lʔ（mǎn）	mˤanʔ	máːn（mǎn）		muan	mwan	✓
蟎	明一寒上														
鏋	明一寒上			moːnʔ						mˤanʔ					✓
𢟮	明一寒上									mˤanʔ					✓
𥲈	明一寒上									mˤanʔ					✓
墁	明一寒去・明一寒平	mɑn	mân	moːn・moːns						mˤan・mˤanh			muan	mwan	✓
幔	明一寒去	mɑnᶜ	mâns	moːns	mˤa[n]-s			manh	mˁ[a][n]h（màn）	mˤanh	maːnh（màn）		muan	mwan	✓
漫	明一寒去	mɑnᶜ	mâns	moːns	mˤa[n]-s				mˁ[a][n]h（màn）	mˤanh	maːnh（màn）		muan	mwan	✓
鏝	明一寒去・明一寒平			moːn・moːns				man・manh		mˤan・mˤanh			muan・muan	mwan・mwan	✓
䝢	明一寒去									mˤanh					✓
𢿜	明一寒去														
𦔔	明一寒去・明一寒平									mˤan・mˤanh					✓
妺	明一寒入			maːd						mˤat					✓
抹	明一寒入			maːd						mˤat					✓
昩	明一寒入			maːd						mˤat					✓
末	明一寒入	mɑt	mât	maːd	mˤat	mat		mat	m[a]t（mò）	mˤat	maːt（mò）		muat	mwat	✓
沫	明一寒入・明一泰去	mɑt・mɑs	mât	maːd	mˤat		mat	madh・mat	m[a]t（mò）	mˤat・mˤath	mʱaːt（mò）		muəi・muat	mwar・mwat	✓
眜	明一寒入・明一泰去			maːd				mat		mˤat・mˤath			muəi	mwat	✓
秣	明一寒入	mɑt	mât	maːd		mat	mat		m[a]t（mò）	mˤat	mʱaːt（mò）	mʱaːt（mò）	muat	mwat	✓
茉	明一寒入		mâts												✓
袜	明一寒入			maːd						mˤat					✓
靺	明一寒入			maːd						mˤat					✓
韎	明一寒入・明二皆去		mə̂ts	mreːds・maːd			mat			mˤat					✓
䀛	明一寒入・明二皆去	mɑt・mas	mât・mrâts・môt							mˤat・mrˤəth					✓
䬴	明一寒入							mat		mˤat				mwat	✓
䱅	明一寒入									mˤat					✓
䴲	明一寒入									mˤat					✓
𠇱	明一寒入									mˤat					✓
𡊉	明一寒入									mˤat					✓
𢗿	明一寒入									mˤat					✓
𥬎	明一寒入									mˤat					✓
𥽘	明一寒入							mat						mwat	✓
𦫕	明一寒入									mˤat					✓
𨣱	明一寒入														
𩑷	明一寒入									mˤat					✓
𩿣	明一寒入									mˤat					✓
乾	見開一寒平・羣開三B仙平	kɑn・gɨ̯an	kân・gan	kaːn・gran	[k]ˤar・[g](r)ar	kan	kan	kan・gjian	gʴal（qián）・kˁal（gān）	kˤan・ɡran	gʱan（qián）	kaːr（gān）	kan・gǐan	kan・gian	✓
奸	見開一寒平・見開二刪平	kɑn	kân	kaːn	kˤa[r]			kan	kˁan（gān）	kˤan	kaːn（jiān）		kan	kan	✓
干	見開一寒平	kɑn	kân	kaːn	[k]ˤar・kˤa[r]・kˤar	kan	kan	kan	kˁan（gān）・kˁan（gān）・kˁan（gān）・kˁan（gān）	kˤan	kaːn（gān）	kaːn（gān）	kan	kan	✓
漧	見開一寒平			kaːn	[k]ˤar				kˁal（gān）	kˤan					✓
玕	見開一寒平	kɑn	kân	kaːn				kan		kˤan			kan	kan	✓
竿	見開一寒平	kɑn	kân	kaːn	kˤar		kan	kan	kˁa[l]（gān）	kˤan	kaːn（gān）		kan	kan	✓
肝	見開一寒平	kɑn	kân	kaːn	s.kˤa[r]			kan	kˁan（gān）	kˤan	kaːn（gān）		kan	kan	✓
迀	見開一寒平			kaːn						kˤan				kan	✓
鳱	見開一寒平			kaːn						kˤan					✓
㿻	見開一寒平									kˤan					✓
𡯋	見開一寒平									kˤan					✓
𢧀	見開一寒平							kan		kˤan				kan	✓
𨝌	見開一寒平									kˤan					✓
仠	見開一寒上			kaːnʔ						kˤanʔ					✓
擀	見開一寒上			kaːnʔ											✓
桿	見開一寒上			kaːnʔ											✓
皯	見開一寒上	kɑnᴮ	kânʔ	kaːnʔ				kanx		kˤanʔ				kan	✓
秆	見開一寒上	kɑnᴮ	kânʔ	kaːnʔ・klaːnʔ	kˤa[r]ʔ			kanx	kʰˁanʔ（gǎn）	kˤanʔ			kan	kan	✓
稈	見開一寒上	kɑnᴮ	kânʔ	kaːnʔ				kanx		kˤanʔ				kan	✓
簳	見開一寒上	kɑnᴮ	kânʔ	kaːnʔ	kˤarʔ				kˁalʔ（gǎn）	kˤanʔ	káːn（gǎn）		kan	kan	✓
衦	見開一寒上			kaːnʔ				kanx・kanh		kˤanʔ				kan・kan	✓
趕	見開一寒上			kaːnʔ											✓
䵟	見開一寒上									kˤanʔ					✓
𤿊	見開一寒上									kˤanʔ					✓
𥾍	見開一寒上									kˤanʔ					✓
𦼮	見開一寒上							kanx		kˤanʔ				kan	✓
倝	見開一寒去	kɑnᶜ	kâns	kaːns	[k]ˤar-s			kanh	kˁalh（gàn）	kˤanh				kan	✓
幹	見開一寒去	kɑnᶜ	kâns	kaːns	[k]ˤar-s				kˁalh（gàn）	kˤanh	kaːnh（gàn）		kan	kan	✓
旰	見開一寒去	kɑnᶜ	kâns	kaːns				kanh		kˤanh			kan	kan	✓
杆	見開一寒去			kaːns						kˤanh					✓
榦	見開一寒去	kɑnᶜ	kâns	kaːns			kans	kanh		kˤanh				kan	✓
盰	見開一寒去			kaːns				kanh		kˤanh			kan	kan	✓
𢁗	見開一寒去									kˤanh					✓
𣵼	見開一寒去														
𧹳	見開一寒去							kanh		kˤanh				kan	✓
割	見開一寒入	kɑt	kât	kaːd	Cə-kˤat	kat		kat	kˁat（gē）	kˤat	kaːt（gē）		kat	kat	✓
匃	見開一寒入・見開一泰去				[k]ˤat-s・[k]ˤat			kadh	kˁaθ（gài）・kˁat（gài）	kˤat・kˤath				kar	✓
噶	見開一寒入														
葛	見開一寒入	kɑt	kât	kaːd	[k]ˤat	kat	kat	kat	kˁat（gé）	kˤat	kaːt（gé）	kaːt（gé）	kat	kat	✓
輵	見開一寒入			kaːd						kˤat					✓
㵧	見開一寒入									kˤat					✓
䈓	見開一寒入									kˤat					✓
𥢸	見開一寒入							kat		kˤat				kat	✓
𨞛	見開一寒入							kat		kˤat				kat	✓
𩢛	見開一寒入							kat		kˤat				kat	✓
刊	溪開一寒平	kʰɑn	kʰân	kʰaːn				kʰan					kʰan	kʰan	✓
栞	溪開一寒平	kʰɑn	kʰân	ŋ̥ʰaːn				kʰan						kʰan	✓
看	溪開一寒平・溪開一寒去	kʰɑnᶜ	kʰâns	kʰaːn・kʰaːns	kʰˤa[r]・[kʰ]ˤa[r]-s			kʰan・kʰanh	kʰˁa[n]（kān）・kʰˁa[n]h（kàn）	kʰˤanh	kʰaːnh（kàn）		kʰan	kʰan・kʰan	✓
𣓁	溪開一寒平														
侃	溪開一寒上・溪開一寒去	kʰɑnᴮ・kʰɑnᶜ	kʰânʔ・kʰâns	kʰaːnʔ・kʰaːns			khanʔ	kʰanx・kʰanh		kʰɫˤanʔ・kʰɫˤanh			kʰan・kʰan	kʰan・kʰan	✓
衎	溪開一寒上・溪開一寒去	kʰɑnᶜ	kʰâns	kʰaːnʔ・kʰaːns		kʰans	khans	kʰanx・kʰanh	kʰˁanh（kàn）	kʰˤanh	kʰaːnh（kàn）	kʰaːnh（kàn）	kʰan	kʰan・kʰan	✓
偘	溪開一寒去			kʰaːns						kʰɫˤanh					✓
靬	溪開一寒去・溪開一寒平・見開三C元平・見開二山平	kan		kʰaːn・kʰaːns・kreːn・kan				kjan・kʰan・kʰanh		kʰˤanh・kan				kjan・kʰan・kʰan	✓
嵑	溪開一寒入			kʰaːd						kʰˤat					✓
渴	溪開一寒入・羣開三B仙入	kʰɑt・gɨ̯at	kʰât・gat	kʰaːd・grad	Nə-[k]ʰˤat	kʰat	khat	kʰat・gjiat	kʰˁat（kě）	kʰˤat・ɡrat	kʰaːt（kě）	kʰaːt（kě）	kʰat	kʰat・giat	✓
㵣	溪開一寒入	kʰɑt	kʰât					kʰat		kʰˤat				kʰat	✓
䅥	溪開一寒入・見開三B仙入									kʰˤat・krat					✓
䳚	溪開一寒入・溪開一寒去・溪開一泰去									kʰˤanh					✓
𤸎	溪開一寒入									kʰˤat					✓
𡽜	疑開一寒平														
岸	疑開一寒去	ŋɑnᶜ	ŋâns	ŋgaːns	[ŋ]ˤa[r]-s	ŋans	m-kans	ŋanh	ŋˁanh（àn）	ŋˤanh	ŋʱaːnh（àn）	ŋaːnh（àn）	ŋan	ŋan	✓
犴	疑開一寒去・疑開一寒平	ŋɑnᶜ	ŋâns	ŋaːn・ŋaːns						ŋˤanh			ŋan	ŋan	✓
㷳	疑開一寒去														
䮗	疑開一寒去							ŋanh		ŋˤanh				ŋan	✓
𡹼	疑開一寒去														
𨲊	疑開一寒去									ŋˤanh					✓
枿	疑開一寒入	ŋɑt	ŋât	ŋaːd						ŋˤat				ŋat	✓
歺	疑開一寒入			ŋaːd				ŋat						ŋat	✓
𠱥	疑開一寒入									ŋˤat					✓
𠲗	疑開一寒入									ŋˤat					✓
𣎴	疑開一寒入									ŋˤat					✓
𣡌	疑開一寒入	ŋɑt	ŋât					ŋat		ŋˤat				ŋat	✓
侒	影開一寒平			qaːn				ʔan		ʔˤan				ʔan	✓
安	影開一寒平	ʔɑn	ʔân	qaːn	[ʔ]ˤa[n]	ʔan	ʔan	ʔan	ʔˁan（ān）・ʔˁan（ān）・ʔˁan（ān）	ʔˤan	ʔaːn（ān）	ʔaːn（ān）	0an	ʔan	✓
桉	影開一寒平														
氨	影開一寒平														
鞌	影開一寒平			qaːn	[ʔ]ˤa[n]			ʔan	ʔˁan（ān）	ʔˤan			0an	ʔan	✓
鞍	影開一寒平	ʔɑn	ʔân	qaːn	[ʔ]ˤa[n]				ʔˁan（ān）		ʔaːn（ān）				✓
鮟	影開一寒平														
䀂	影開一寒平									ʔˤan					✓
銨	影開一寒上														
按	影開一寒去	ʔɑnᶜ	ʔâns	qaːns	ʔˤa[n]-s		ʔans	ʔanh	ʔˁanh（àn）	ʔˤanh	ʔaːnh（àn）		0an	ʔan	✓
案	影開一寒去	ʔɑnᶜ	ʔâns	qaːns	ʔˤa[n]-s			ʔanh	ʔˁanh（àn）	ʔˤanh			0an	ʔan	✓
洝	影開一寒去			qaːns				ʔanh		ʔˤanh				ʔan	✓
荌	影開一寒去			qaːns				ʔanh		ʔˤanh				ʔan	✓
䅁	影開一寒去							ʔanh		ʔˤanh				ʔan	✓
䢿	影開一寒去・影開一寒平									ʔˤan・ʔˤanh					✓
咹	影開一寒入			qaːd						ʔˤat					✓
堨	影開一寒入			qaːd				ʔat		ʔˤat				ʔat	✓
胺	影開一寒入・影開一寒去			qaːd						ʔˤat					✓
遏	影開一寒入	ʔɑt	ʔât	qaːd	qˤat		ʔat	ʔat	ʔˁat（è）	ʔˤat	ʔaːt（è）	ʔaːt（è）	0at	ʔat	✓
靄	影開一寒入・影開一泰去			qaːds・qaːd						ʔˤat・ʔˤath			0at		✓
頞	影開一寒入	ʔɑt	ʔât	qaːd	ʔˤat				ʔˁat（è）	ʔˤat	ʔaːt（è）			ʔat	✓
齃	影開一寒入			qaːd						ʔˤat					✓
𠥜	影開一寒入									ʔˤat					✓
頇	曉開一寒平・疑開一寒入・疑開一寒去			ŋaːns・hŋaːn・ŋaːd						ŋˤanh					✓
厂	曉開一寒上・曉開一寒去	hɑnᶜ	hŋans	hŋaːnʔ・hŋaːns	ŋ̊ˤarʔ・ŋ̊ˤar(ʔ)-s			hanx・hanh	ŋ̊ˁanʔ（hàn）・ŋ̊ˁanh（hàn）	ŋ̊ˤanʔ❓				xan・xan	✓
暵	曉開一寒上・曉開一寒去	hɑnᴮ・hɑnᶜ	hânʔ・hâns	hnaːnʔ・hnaːns	n̥ˤarʔ・[qʰ]ˤarʔ-s		snans	hanx・hanh	n̥ˁalʔ（hàn）・n̥ˁalh（hàn）	n̥ˤanʔ・n̥ˤanh	ŋ̥áːn（hǎn）		han	xan・xan	✓
灘	曉開一寒上・泥開一寒去・透開一寒平	tʰɑn		n̥ʰaːn・naːns・hnaːnʔ・hnaːns	n̥ˤar	hnan		hnan・hanx・nanh	n̥ˁal（tān）	n̥ˤan・n̥ˤanʔ・nˤanh	n̥aːn（tān）		tʰan	tʰan・xan・nan	✓
焊	曉開一寒上			qʰaːnʔ・gaːns						hˤanʔ					✓
罕	曉開一寒上・曉開一寒去	hɑnᴮ	hŋânʔ・ŋ̊ânʔ	qʰaːnʔ・qʰaːns	qʰˤa[r]ʔ	xanʔ			xˁanʔ（hǎn）・xˁanʔ（hǎn）	hˁanʔ❓	háːn（hǎn）	haːnh（hǎn）			✓
蔊	曉開一寒上			qʰaːnʔ						hˤanʔ					✓
䍐	曉開一寒上・曉開一寒去						khanʔ	hanx・hanh		hˤanʔ			han	xan・xan	✓
